"Years","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"                Exports of services ($)","6289000000","6295000000","6941000000","7348000000","7839000000","8824000000","9616000000","10667000000","11918000000","12806000000","14171000000","16358000000","17842000000","19832000000","22591000000","25497000000","27971000000","31486000000","36353000000","39693000000","47585000000","57355000000","64078000000","64307000000","71168000000","73156000000","86690000000","98661000000","110920000000","127087000000","147833000000","164260000000","177251000000","185920000000","200395000000","219183000000","239489000000","256087000000","262758000000","278001000000","298023000000","284035000000","288059000000","297740000000","344536000000","378487000000","423086000000","495664000000","540791000000","522461000000","582041000000","644665000000","684823000000","719413000000","757051000000","768660000000","780944000000","833775000000","861725000000","876295000000","705643000000","771247000000"
"                    By type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Maintenance and repair services  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3656000000","4423000000","5191000000","5368000000","5073000000","5181000000","6652000000","7106000000","8899000000","9362000000","11573000000","13111000000","14739000000","14944000000","15720000000","17978000000","19847000000","21587000000","23239000000","28036000000","27698000000","13278000000","12048000000"
"                        Transport ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46302000000","49462000000","45965000000","45954000000","46701000000","54419000000","58377000000","64026000000","70837000000","78237000000","65806000000","76357000000","82930000000","88238000000","89999000000","90687000000","84434000000","81779000000","86342000000","93107000000","91017000000","56706000000","65044000000"
"                        Travel (for all purposes including education)  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89146000000","96872000000","86408000000","79625000000","76983000000","85648000000","93423000000","96148000000","106918000000","117030000000","110757000000","130315000000","142197000000","153921000000","170979000000","180265000000","192602000000","192868000000","196469000000","200724000000","199364000000","72813000000","68759000000"
"                        Construction ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3974000000","1993000000","2608000000","3128000000","2377000000","2253000000","1489000000","1856000000","2774000000","4072000000","4260000000","2951000000","3187000000","3234000000","2213000000","2070000000","2759000000","1690000000","2053000000","2842000000","3127000000","2349000000","2797000000"
"                        Insurance services ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3052000000","3631000000","3424000000","4415000000","5974000000","7314000000","7566000000","9445000000","10867000000","13491000000","14594000000","14854000000","14673000000","15978000000","15653000000","16624000000","15763000000","16663000000","18976000000","19118000000","18528000000","20431000000","22672000000"
"                        Financial services ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25998000000","29192000000","27500000000","29903000000","33499000000","42767000000","47405000000","56522000000","73980000000","79897000000","73844000000","86512000000","101077000000","105419000000","109794000000","119933000000","114951000000","114762000000","128035000000","132448000000","136046000000","144343000000","164088000000"
"                        Charges for the use of intellectual property  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39913000000","43476000000","41005000000","44815000000","47308000000","56943000000","64466000000","70999000000","84498000000","89672000000","85730000000","94968000000","107053000000","107869000000","113824000000","116380000000","111151000000","112981000000","118147000000","114819000000","115529000000","113779000000","124827000000"
"                        Telecommunications, computer, and information services ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12320000000","12250000000","12862000000","12487000000","14099000000","15009000000","15568000000","17242000000","20339000000","23892000000","24925000000","26556000000","29376000000","33522000000","36325000000","38629000000","41427000000","43122000000","47657000000","49245000000","54766000000","56682000000","58142000000"
"                        Other business services ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36415000000","38217000000","41250000000","44625000000","46171000000","51609000000","56846000000","65990000000","79366000000","89975000000","93508000000","99595000000","108423000000","118451000000","122166000000","132240000000","141421000000","153089000000","167270000000","176540000000","185573000000","183180000000","206542000000"
"                        Personal, cultural, and recreational services ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9007000000","9351000000","9631000000","10089000000","10522000000","11409000000","11114000000","14532000000","16265000000","16080000000","16926000000","17612000000","19538000000","21098000000","20888000000","22551000000","24220000000","23626000000","25664000000","22715000000","22193000000","20442000000","22965000000"
"                        Government goods and services  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8218000000","9156000000","8191000000","7653000000","9033000000","11985000000","15582000000","19222000000","20921000000","19084000000","20538000000","19210000000","21470000000","22148000000","21852000000","19693000000","20087000000","18777000000","19924000000","22131000000","22453000000","21642000000","23364000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Canada ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23321000000","25184000000","24846000000","25315000000","27499000000","29457000000","33952000000","39416000000","44654000000","48389000000","46512000000","57288000000","61897000000","65774000000","67543000000","65979000000","59813000000","60782000000","65148000000","68722000000","69512000000","53685000000","54982000000"
"                        Europe ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103545000000","109786000000","104695000000","110889000000","118203000000","141646000000","153371000000","170918000000","208136000000","229511000000","212690000000","221283000000","242628000000","249427000000","257650000000","277966000000","286166000000","295703000000","318847000000","331272000000","341678000000","291440000000","320688000000"
"                            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                Belgium ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2851000000","2915000000","2661000000","2421000000","2597000000","2825000000","3023000000","3122000000","3719000000","4173000000","3900000000","4066000000","5795000000","5613000000","5462000000","5914000000","6334000000","6017000000","5711000000","5928000000","5630000000","5823000000","3885000000"
"                                France ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9961000000","10413000000","9909000000","10842000000","11325000000","13077000000","12629000000","13416000000","15951000000","18199000000","17315000000","17926000000","19142000000","18584000000","19415000000","19647000000","19850000000","20129000000","20218000000","21473000000","22306000000","15492000000","16799000000"
"                                Germany ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16484000000","15974000000","14447000000","15115000000","16551000000","18961000000","20372000000","20477000000","24614000000","27715000000","25896000000","26541000000","28024000000","27855000000","28220000000","29272000000","31138000000","33235000000","34484000000","35478000000","36227000000","29594000000","31361000000"
"                                Italy ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5174000000","5611000000","5154000000","5176000000","5770000000","6282000000","6930000000","7172000000","8691000000","9005000000","8234000000","8394000000","8995000000","8326000000","8088000000","8425000000","8335000000","8274000000","8779000000","9569000000","9530000000","5807000000","6049000000"
"                                Luxembourg ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"610000000","698000000","860000000","1630000000","1114000000","1463000000","1642000000","2733000000","3126000000","3396000000","3953000000","4027000000","5405000000","6666000000","7237000000","7427000000","7240000000","6754000000","7399000000","8089000000","7692000000","7100000000","8820000000"
"                                Netherlands ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6911000000","6963000000","6702000000","7603000000","7513000000","7755000000","8431000000","9440000000","12226000000","15852000000","13545000000","13569000000","15592000000","16165000000","16513000000","17990000000","17261000000","17373000000","19412000000","19404000000","20138000000","18090000000","22035000000"
